file_id,rf
j_1177843,2
j_1177964,4
j_1178019,5
j_1178724,2
j_1178929,5
j_1179128,5
j_1179583,4
j_1179958,0
j_1181178,0
j_1181216,0
j_118128,5
j_1181875,3
j_1182463,3
j_1183031,3
j_1183127,3
j_1183310,5
j_118393,3
j_1185038,4
j_1185444,5
j_1185950,5
j_1186119,3
j_118767,3
j_1188525,2
j_1189255,3
j_1189566,4
j_1189576,4
j_1189651,0
j_119119,4
j_119123,4
j_1191466,5
j_1191618,4
j_1191977,2
j_119247,5
j_1192557,3
j_1192571,3
j_1193074,3
j_1193370,5
j_1193391,3
j_1193466,4
j_1196689,5
j_119720,3
j_1197286,5
j_1198180,3
j_1198227,5
j_1198254,3
j_1198365,3
j_1198545,3
j_1198560,3
j_1199097,3
j_1199125,4
j_1199213,3
j_1199367,2
j_1199975,4
j_1200502,3
j_1200793,5
j_1200899,2
j_1200988,0
j_1201901,3
j_1201967,5
j_1202183,2
j_1202218,5
j_1202233,3
j_1202344,0
j_12032,3
j_1203656,5
j_1204079,5
j_1204191,4
j_120451,3
j_1204758,3
j_1204761,2
j_1205066,5
j_1205574,3
j_1206280,5
j_1206513,5
j_120671,2
j_1206879,3
j_1207021,4
j_1207370,2
j_120741,0
j_1208283,3
j_1208417,5
j_1209390,3
j_1209427,2
j_1209706,0
j_1210719,4
j_1210969,3
j_1211098,3
j_1211113,3
j_1211223,4
j_1211576,5
j_1212219,5
j_1212254,5
j_1212303,5
j_1212873,3
j_121293,4
j_1213536,4
j_1214157,3
j_1214192,3
j_1214535,5
j_1215436,0
j_1215461,5
j_1215654,5
j_1215682,5
j_121597,5
j_1216324,3
j_1216410,3
j_1217552,3
j_1217682,3
j_1217722,3
j_1217780,5
j_1217845,3
j_1218138,3
j_1218217,5
j_1218254,5
j_1219707,0
j_1220196,3
j_1220233,5
j_1220965,5
j_1221132,5
j_1221306,5
j_1221706,3
j_1221827,4
j_1221868,3
j_1221947,5
j_1222103,5
j_1222724,5
j_1222796,5
j_1223050,5
j_1223292,5
j_1223498,2
j_1224169,3
j_1224270,3
j_1224478,4
j_122476,0
j_1225316,0
j_1225413,4
j_1226544,5
j_1227084,5
j_1228308,0
j_1228430,5
j_1228752,2
j_122900,2
j_1229190,2
j_1229388,5
j_1229405,5
j_1229800,5
j_1231690,3
j_1231798,0
j_1232250,4
j_1232650,0
j_1232687,3
j_12331,5
j_1233241,3
j_1233390,3
j_1233708,4
j_1234209,5
j_1235270,5
j_1235596,4
j_1236160,5
j_1236426,3
j_1236687,5
